2021-11-28 09:27:28.313832 | info |  | STARTED...
2021-11-28 10:00:16.691454 | info |  | STARTED...
2021-11-28 10:11:18.226748 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:11:23.557770 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:11:38.558096 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:11:45.124687 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:11:54.257230 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:06.690546 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:12.390824 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:17.724019 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:28.691146 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:37.457877 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:42.257287 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:47.558120 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:50.290967 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:12:58.324194 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:08.091587 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:18.024428 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:22.224080 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:28.623932 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:38.524164 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:42.124325 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:47.524102 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:13:55.391152 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:00.657483 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:07.824796 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:14.757463 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:22.691506 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:26.291241 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:31.491047 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:40.124269 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:49.157919 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:53.657799 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:14:58.090691 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:01.824702 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:07.757608 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:12.591413 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:16.257806 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:25.624499 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:29.724263 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:34.724647 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:53.491307 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:15:57.491191 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:04.423973 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:13.057326 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:21.657200 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:25.857334 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:32.058201 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:36.224334 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:42.091104 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:45.991049 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:16:51.490815 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:01.091338 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:05.390633 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:10.458207 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:18.158007 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:25.791356 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:33.657928 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:41.324074 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:17:48.791057 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:09.324310 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:18.257722 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:22.790939 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:28.324757 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:33.390952 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:38.324590 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:43.157477 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:49.291275 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:18:58.891307 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:19:07.257551 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:19:14.924517 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:19:22.557789 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:19:30.624477 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:19:38.758094 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:19:49.058270 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:19:57.991107 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:20:07.724870 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:20:16.290689 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:20:26.891323 | info |  | KEYWORD NOT DETECTED
2021-11-28 10:20:48.357765 | info |  | KEYWORD NOT DETECTED
